100,5.7,2.8,4.1,1.3,iris-versicolor
101,6.3,3.3,6.0,2.5,iris-virginica
102,5.8,2.7,5.1,1.9,iris-virginica
103,7.1,3.0,5.9,2.1,iris-virginica
104,6.3,2.9,5.6,1.8,iris-virginica
105,6.5,3.0,5.8,2.2,iris-virginica
106,7.6,3.0,6.6,2.1,iris-virginica
107,4.9,2.5,4.5,1.7,iris-virginica
108,7.3,2.9,6.3,1.8,iris-virginica
109,6.7,2.5,5.8,1.8,iris-virginica
110,7.2,3.6,6.1,2.5,iris-virginica
111,6.5,3.2,5.1,2.0,iris-virginica
112,6.4,2.7,5.3,1.9,iris-virginica
113,6.8,3.0,5.5,2.1,iris-virginica
114,5.7,2.5,5.0,2.0,iris-virginica
115,5.8,2.8,5.1,2.4,iris-virginica
116,6.4,3.2,5.3,2.3,iris-virginica
117,6.5,3.0,5.5,1.8,iris-virginica
118,7.7,3.8,6.7,2.2,iris-virginica
119,7.7,2.6,6.9,2.3,iris-virginica
120,6.0,2.2,5.0,1.5,iris-virginica
121,6.9,3.2,5.7,2.3,iris-virginica
122,5.6,2.8,4.9,2.0,iris-virginica
123,7.7,2.8,6.7,2.0,iris-virginica
124,6.3,2.7,4.9,1.8,iris-virginica
125,6.7,3.3,5.7,2.1,iris-virginica
126,7.2,3.2,6.0,1.8,iris-virginica
127,6.2,2.8,4.8,1.8,iris-virginica
128,6.1,3.0,4.9,1.8,iris-virginica
129,6.4,2.8,5.6,2.1,iris-virginica
130,7.2,3.0,5.8,1.6,iris-virginica
131,7.4,2.8,6.1,1.9,iris-virginica
132,7.9,3.8,6.4,2.0,iris-virginica
133,6.4,2.8,5.6,2.2,iris-virginica
134,6.3,2.8,5.1,1.5,iris-virginica
135,6.1,2.6,5.6,1.4,iris-virginica
136,7.7,3.0,6.1,2.3,iris-virginica
137,6.3,3.4,5.6,2.4,iris-virginica
138,6.4,3.1,5.5,1.8,iris-virginica
139,6.0,3.0,4.8,1.8,iris-virginica
140,6.9,3.1,5.4,2.1,iris-virginica
141,6.7,3.1,5.6,2.4,iris-virginica
142,6.9,3.1,5.1,2.3,iris-virginica
143,5.8,2.7,5.1,1.9,iris-virginica
144,6.8,3.2,5.9,2.3,iris-virginica
145,6.7,3.3,5.7,2.5,iris-virginica
146,6.7,3.0,5.2,2.3,iris-virginica
147,6.3,2.5,5.0,1.9,iris-virginica
148,6.5,3.0,5.2,2.0,iris-virginica
149,6.2,3.4,5.4,2.3,iris-virginica
150,5.9,3.0,5.1,1.8,iris-virginica
